"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 11:25:11 GMT 2021","Tue Aug 10 11:25:13 GMT 2021","1035","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 11:25:01 GMT 2021","Tue Aug 10 11:25:04 GMT 2021","3164","test","test_conduit","TestConduit","","","test_registration",""
"failed","Tue Aug 10 11:25:40 GMT 2021","Tue Aug 10 11:25:48 GMT 2021","7682","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 11:25:57 GMT 2021","Tue Aug 10 11:25:59 GMT 2021","1696","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 11:25:14 GMT 2021","Tue Aug 10 11:25:17 GMT 2021","2791","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 11:25:49 GMT 2021","Tue Aug 10 11:25:52 GMT 2021","2941","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"failed","Tue Aug 10 11:25:35 GMT 2021","Tue Aug 10 11:25:38 GMT 2021","3055","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Aug 10 11:25:54 GMT 2021","Tue Aug 10 11:25:56 GMT 2021","1481","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 11:25:19 GMT 2021","Tue Aug 10 11:25:33 GMT 2021","14166","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Tue Aug 10 11:25:05 GMT 2021","Tue Aug 10 11:25:07 GMT 2021","2071","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 11:25:09 GMT 2021","Tue Aug 10 11:25:10 GMT 2021","942","test","test_conduit","TestConduit","","","test_sign_in",""
